B,C,H,K,N,O,A_labelfreq_enc,D_labelfreq_enc,E_labelfreq_enc,F_labelfreq_enc,G_labelfreq_enc,I_labelfreq_enc,J_labelfreq_enc,L_labelfreq_enc,M_labelfreq_enc,A_ohe_0,A_ohe_1,D_ohe_0,D_ohe_1,D_ohe_2,E_ohe_0,E_ohe_1,E_ohe_2,F_ohe_0,F_ohe_1,F_ohe_2,F_ohe_3,F_ohe_4,F_ohe_5,F_ohe_6,F_ohe_7,F_ohe_8,F_ohe_9,F_ohe_10,F_ohe_11,F_ohe_12,F_ohe_13,G_ohe_0,G_ohe_1,G_ohe_2,G_ohe_3,G_ohe_4,G_ohe_5,G_ohe_6,G_ohe_7,G_ohe_8,I_ohe_0,I_ohe_1,J_ohe_0,J_ohe_1,L_ohe_0,L_ohe_1,M_ohe_0,M_ohe_1,M_ohe_2,A_label,D_label,E_label,F_label,G_label,I_label,J_label,L_label,M_label,P,P_mean_A_label,P_mean_D_label,P_mean_E_label,P_mean_F_label,P_mean_G_label,P_mean_I_label,P_mean_J_label,P_mean_L_label,P_mean_M_label
18.42,10.415,0.125,0,120.0,375,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.07608695652173914,0.5905797101449275,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,0,7,1,0,0,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.6578947368421053,0.5714285714285714,0.19730941704035873,0.7569721115537849,0.5560344827586207,0.54
22.67,2.54,2.585,0,0.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.2210144927536232,0.20471014492753623,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,1,3,1,0,0,0,0,0.5714285714285714,0.711340206185567,0.711340206185567,0.5757575757575758,0.41935483870967744,0.19730941704035873,0.7569721115537849,0.5560344827586207,0.54
18.58,5.71,0.54,0,120.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.043478260869565216,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,3,7,0,0,0,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.7727272727272727,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54
31.83,0.04,0.04,0,0.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.05615942028985507,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,9,7,0,0,0,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.47368421052631576,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54
28.58,3.75,0.25,1,40.0,154,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.5905797101449275,0.48188405797101447,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,7,0,1,1,0,1,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.5714285714285714,0.9174311926605505,0.28421052631578947,0.5502392344497608,0.54
21.33,7.5,1.415,1,80.0,9800,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.07608695652173914,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,7,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.6578947368421053,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
16.92,0.335,0.29,0,200.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.07246376811594203,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.08695652173913043,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2,2,8,7,0,0,0,2,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.75,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.7222222222222222
34.0,5.5,1.5,0,60.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.2210144927536232,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,2,1,7,0,0,1,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.5757575757575758,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54
36.17,0.42,0.29,0,309.0,2,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.09057971014492754,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,2,12,7,0,0,1,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.5,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54
24.75,12.5,1.5,12,120.0,567,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.07608695652173914,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,7,1,1,1,0,0,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.6578947368421053,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
22.17,2.25,0.125,0,160.0,10,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.08514492753623189,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,6,7,0,0,0,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.7560975609756098,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54
28.5,1.0,1.0,2,167.0,500,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.11956521739130435,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,10,7,1,1,1,0,1,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.3333333333333333,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
28.0,2.0,4.165,2,181.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.07246376811594203,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,8,3,1,1,1,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.75,0.41935483870967744,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
19.17,8.585,0.75,7,96.0,0,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.05253623188405797,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,2,3,1,1,0,0,0,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.2727272727272727,0.41935483870967744,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
24.42,12.335,1.585,0,120.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.11956521739130435,0.20471014492753623,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,10,3,1,0,1,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.3333333333333333,0.41935483870967744,0.19730941704035873,0.7569721115537849,0.5502392344497608,0.54
42.83,4.625,4.58,0,0.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.11956521739130435,0.5905797101449275,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.08695652173913043,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,10,7,1,0,0,2,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.3333333333333333,0.5714285714285714,0.19730941704035873,0.7569721115537849,0.5560344827586207,0.7222222222222222
28.25,5.125,4.75,2,420.0,7,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.05615942028985507,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,13,7,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.18518518518518517,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
25.75,0.5,0.875,0,491.0,0,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.20471014492753623,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,3,1,0,1,0,0,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.41935483870967744,0.19730941704035873,0.7569721115537849,0.5502392344497608,0.54
43.0,0.29,1.75,8,100.0,375,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.05253623188405797,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,2,2,2,3,1,1,0,0,0,0.5714285714285714,0.711340206185567,0.711340206185567,0.2727272727272727,0.41935483870967744,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
65.17,14.0,0.0,11,0.0,1400,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.07789855072463768,0.08333333333333333,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,5,2,1,1,1,0,0,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.9,0.8484848484848485,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
