B,C,H,K,N,O,A_labelfreq_enc,D_labelfreq_enc,E_labelfreq_enc,F_labelfreq_enc,G_labelfreq_enc,I_labelfreq_enc,J_labelfreq_enc,L_labelfreq_enc,M_labelfreq_enc,A_ohe_0,A_ohe_1,D_ohe_0,D_ohe_1,D_ohe_2,E_ohe_0,E_ohe_1,E_ohe_2,F_ohe_0,F_ohe_1,F_ohe_2,F_ohe_3,F_ohe_4,F_ohe_5,F_ohe_6,F_ohe_7,F_ohe_8,F_ohe_9,F_ohe_10,F_ohe_11,F_ohe_12,F_ohe_13,G_ohe_0,G_ohe_1,G_ohe_2,G_ohe_3,G_ohe_4,G_ohe_5,G_ohe_6,G_ohe_7,G_ohe_8,I_ohe_0,I_ohe_1,J_ohe_0,J_ohe_1,L_ohe_0,L_ohe_1,M_ohe_0,M_ohe_1,M_ohe_2,A_label,D_label,E_label,F_label,G_label,I_label,J_label,L_label,M_label,P,P_mean_A_label,P_mean_D_label,P_mean_E_label,P_mean_F_label,P_mean_G_label,P_mean_I_label,P_mean_J_label,P_mean_L_label,P_mean_M_label,B*B,B*C,B+C,B/C,B-C,B*H,B+H,B/H,B-H,B*K,B+K,B/K,B-K,B*N,B+N,B/N,B-N,C/B,C-B,C*C,C*H,C+H,C/H,C-H,C*K,C+K,C/K,C-K,C*N,C+N,C/N,C-N,H/B,H-B,H/C,H-C,H*H,H*K,H+K,H/K,H-K,H*N,H+N,H/N,H-N,K/B,K-B,K/C,K-C,K/H,K-H,K*K,K*N,K+N,K/N,K-N,N/B,N-B,N/C,N-C,N/H,N-H,N/K,N-K,N*N
18.42,10.415,0.125,0,120.0,375,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.07608695652173914,0.5905797101449275,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,0,7,1,0,0,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.6578947368421053,0.5714285714285714,0.19730941704035873,0.7569721115537849,0.5560344827586207,0.54,377.1364000000001,221.6793,30.835,1.7012702584318882,8.005000000000003,21.847500000000004,20.545,17.262222222222224,18.295,19.42,20.42,19.42,18.42,2349.82,140.42000000000002,0.16049586776859506,-101.58,0.5877960865087538,-8.005000000000003,130.302225,12.841874999999998,12.54,10.146666666666667,10.29,11.415,12.415,11.415,10.415,1381.215,132.415,0.0943388429752066,-109.58500000000001,0.057929969104016474,-18.295,0.0985545335085414,-10.29,1.265625,1.125,2.125,1.125,0.125,136.125,122.125,0.009297520661157025,-119.875,0.051493305870236865,-18.42,0.08760402978537013,-10.415,0.8888888888888888,-0.125,1,121.0,122.0,0.008264462809917356,-120.0,6.230690010298661,101.58,10.600087604029786,109.58500000000001,107.55555555555556,119.875,121.0,120.0,14641.0
22.67,2.54,2.585,0,0.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.2210144927536232,0.20471014492753623,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,1,3,1,0,0,0,0,0.5714285714285714,0.711340206185567,0.711340206185567,0.5757575757575758,0.41935483870967744,0.19730941704035873,0.7569721115537849,0.5560344827586207,0.54,560.2689,83.79180000000001,27.21,6.686440677966102,20.130000000000003,84.85695000000001,27.255000000000003,6.602510460251047,20.085,23.67,24.67,23.67,22.67,23.67,24.67,23.67,22.67,0.14955640050697083,-20.130000000000003,12.531600000000001,12.6909,7.125,0.9874476987447699,-0.04499999999999993,3.54,4.54,3.54,2.54,3.54,4.54,3.54,2.54,0.1514575411913815,-20.085,1.0127118644067796,0.04499999999999993,12.852224999999999,3.585,4.585,3.585,2.585,3.585,4.585,3.585,2.585,0.042247570764681025,-22.67,0.2824858757062147,-2.54,0.2789400278940028,-2.585,1,1.0,2.0,1.0,0.0,0.042247570764681025,-22.67,0.2824858757062147,-2.54,0.2789400278940028,-2.585,1.0,0.0,1.0
18.58,5.71,0.54,0,120.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.043478260869565216,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,3,7,0,0,0,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.7727272727272727,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54,383.37639999999993,131.3818,26.29,2.9180327868852456,12.869999999999997,30.1532,21.119999999999997,12.714285714285714,18.04,19.58,20.58,19.58,18.58,2369.18,140.57999999999998,0.1618181818181818,-101.42,0.34269662921348315,-12.869999999999997,45.0241,10.333400000000001,8.25,4.357142857142857,5.17,6.71,7.71,6.71,5.71,811.91,127.71,0.05545454545454545,-114.29,0.07865168539325844,-18.04,0.22950819672131148,-5.17,2.3716,1.54,2.54,1.54,0.54,186.34,122.54,0.012727272727272728,-119.46,0.05107252298263534,-18.58,0.14903129657228018,-5.71,0.6493506493506493,-0.54,1,121.0,122.0,0.008264462809917356,-120.0,6.179775280898877,101.42,18.0327868852459,114.29,78.57142857142857,119.46,121.0,120.0,14641.0
31.83,0.04,0.04,0,0.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.05615942028985507,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,2,9,7,0,0,0,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.47368421052631576,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54,1077.8089,34.1432,33.87,31.56730769230769,31.79,34.1432,33.87,31.56730769230769,31.79,32.83,33.83,32.83,31.83,32.83,33.83,32.83,31.83,0.03167834297898264,-31.79,1.0816000000000001,1.0816000000000001,2.08,1.0,0.0,1.04,2.04,1.04,0.040000000000000036,1.04,2.04,1.04,0.040000000000000036,0.03167834297898264,-31.79,1.0,0.0,1.0816000000000001,1.04,2.04,1.04,0.040000000000000036,1.04,2.04,1.04,0.040000000000000036,0.03045994517209869,-31.83,0.9615384615384615,-0.040000000000000036,0.9615384615384615,-0.040000000000000036,1,1.0,2.0,1.0,0.0,0.03045994517209869,-31.83,0.9615384615384615,-0.040000000000000036,0.9615384615384615,-0.040000000000000036,1.0,0.0,1.0
28.58,3.75,0.25,1,40.0,154,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.5905797101449275,0.48188405797101447,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,7,0,1,1,0,1,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.5714285714285714,0.9174311926605505,0.28421052631578947,0.5502392344497608,0.54,874.9763999999999,140.505,34.33,6.227368421052631,24.83,36.974999999999994,30.83,23.663999999999998,28.33,59.16,31.58,14.79,27.58,1212.78,70.58,0.7214634146341463,-11.420000000000002,0.1605814739688979,-24.83,22.5625,5.9375,6.0,3.8,3.5,9.5,6.75,2.375,2.75,194.75,45.75,0.11585365853658537,-36.25,0.042258282623394185,-28.33,0.2631578947368421,-3.5,1.5625,2.5,3.25,0.625,-0.75,51.25,42.25,0.03048780487804878,-39.75,0.0676132521974307,-27.58,0.42105263157894735,-2.75,1.6,0.75,4,82.0,43.0,0.04878048780487805,-39.0,1.3860716700473295,11.420000000000002,8.631578947368421,36.25,32.8,39.75,20.5,39.0,1681.0
21.33,7.5,1.415,1,80.0,9800,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.07608695652173914,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,7,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.6578947368421053,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54,498.62889999999993,189.80499999999998,30.83,2.6270588235294117,13.829999999999998,53.92695,24.744999999999997,9.246376811594201,19.915,44.66,24.33,11.165,20.33,1808.7299999999998,103.33,0.275679012345679,-58.67,0.380653828929691,-13.829999999999998,72.25,20.5275,10.915,3.5196687370600412,6.085,17.0,10.5,4.25,6.5,688.5,89.5,0.10493827160493827,-72.5,0.10815047021943575,-19.915,0.28411764705882353,-6.085,5.832225,4.83,4.415,1.2075,0.41500000000000004,195.615,83.415,0.029814814814814815,-78.585,0.08956560680698612,-20.33,0.23529411764705882,-6.5,0.8281573498964803,-0.41500000000000004,4,162.0,83.0,0.024691358024691357,-79.0,3.627407075682938,58.67,9.529411764705882,72.5,33.54037267080745,78.585,40.5,79.0,6561.0
16.92,0.335,0.29,0,200.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.07246376811594203,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.08695652173913043,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2,2,8,7,0,0,0,2,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.75,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.7222222222222222,321.12640000000005,23.9232,19.255000000000003,13.423220973782772,16.585,23.1168,19.21,13.891472868217056,16.630000000000003,17.92,18.92,17.92,16.92,3601.9200000000005,218.92000000000002,0.0891542288557214,-183.07999999999998,0.07449776785714285,-16.585,1.782225,1.72215,2.625,1.0348837209302324,0.04499999999999993,1.335,2.335,1.335,0.33499999999999996,268.335,202.335,0.00664179104477612,-199.665,0.07198660714285714,-16.630000000000003,0.9662921348314607,-0.04499999999999993,1.6641000000000001,1.29,2.29,1.29,0.29000000000000004,259.29,202.29,0.006417910447761194,-199.71,0.055803571428571425,-16.92,0.7490636704119851,-0.33499999999999996,0.7751937984496123,-0.29000000000000004,1,201.0,202.0,0.004975124378109453,-200.0,11.216517857142856,183.07999999999998,150.56179775280899,199.665,155.81395348837208,199.71,201.0,200.0,40401.0
34.0,5.5,1.5,0,60.0,0,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.2210144927536232,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,2,1,7,0,0,1,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.5757575757575758,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54,1225.0,227.5,41.5,5.384615384615385,28.5,87.5,37.5,14.0,32.5,35.0,36.0,35.0,34.0,2135.0,96.0,0.5737704918032787,-26.0,0.18571428571428572,-28.5,42.25,16.25,9.0,2.6,4.0,6.5,7.5,6.5,5.5,396.5,67.5,0.10655737704918032,-54.5,0.07142857142857142,-32.5,0.38461538461538464,-4.0,6.25,2.5,3.5,2.5,1.5,152.5,63.5,0.040983606557377046,-58.5,0.02857142857142857,-34.0,0.15384615384615385,-5.5,0.4,-1.5,1,61.0,62.0,0.01639344262295082,-60.0,1.7428571428571429,26.0,9.384615384615385,54.5,24.4,58.5,61.0,60.0,3721.0
36.17,0.42,0.29,0,309.0,2,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.09057971014492754,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,2,12,7,0,0,1,0,1,0.5714285714285714,0.711340206185567,0.711340206185567,0.5,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54,1381.6089000000002,52.7814,38.59,26.17605633802817,35.75,47.9493,38.46,28.813953488372093,35.88,37.17,38.17,37.17,36.17,11522.7,347.17,0.11990322580645162,-272.83,0.03820285176217379,-35.75,2.0164,1.8317999999999999,2.71,1.1007751937984496,0.1299999999999999,1.42,2.42,1.42,0.41999999999999993,440.2,311.42,0.004580645161290323,-308.58,0.03470540758676352,-35.88,0.9084507042253522,-0.1299999999999999,1.6641000000000001,1.29,2.29,1.29,0.29000000000000004,399.90000000000003,311.29,0.004161290322580645,-308.71,0.026903416733925208,-36.17,0.7042253521126761,-0.41999999999999993,0.7751937984496123,-0.29000000000000004,1,310.0,311.0,0.0032258064516129032,-309.0,8.340059187516815,272.83,218.3098591549296,308.58,240.31007751937983,308.71,310.0,309.0,96100.0
24.75,12.5,1.5,12,120.0,567,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.07608695652173914,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,7,1,1,1,0,0,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.6578947368421053,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54,663.0625,347.625,39.25,1.9074074074074074,12.25,64.375,28.25,10.3,23.25,334.75,38.75,1.9807692307692308,12.75,3115.75,146.75,0.2128099173553719,-95.25,0.5242718446601942,-12.25,182.25,33.75,16.0,5.4,11.0,175.5,26.5,1.0384615384615385,0.5,1633.5,134.5,0.1115702479338843,-107.5,0.0970873786407767,-23.25,0.18518518518518517,-11.0,6.25,32.5,15.5,0.19230769230769232,-10.5,302.5,123.5,0.02066115702479339,-118.5,0.5048543689320388,-12.75,0.9629629629629629,-0.5,5.2,10.5,169,1573.0,134.0,0.10743801652892562,-108.0,4.699029126213592,95.25,8.962962962962964,107.5,48.4,118.5,9.307692307692308,108.0,14641.0
