B,C,H,K,N,O,A_labelfreq_enc,D_labelfreq_enc,E_labelfreq_enc,F_labelfreq_enc,G_labelfreq_enc,I_labelfreq_enc,J_labelfreq_enc,L_labelfreq_enc,M_labelfreq_enc,A_ohe_0,A_ohe_1,D_ohe_0,D_ohe_1,D_ohe_2,E_ohe_0,E_ohe_1,E_ohe_2,F_ohe_0,F_ohe_1,F_ohe_2,F_ohe_3,F_ohe_4,F_ohe_5,F_ohe_6,F_ohe_7,F_ohe_8,F_ohe_9,F_ohe_10,F_ohe_11,F_ohe_12,F_ohe_13,G_ohe_0,G_ohe_1,G_ohe_2,G_ohe_3,G_ohe_4,G_ohe_5,G_ohe_6,G_ohe_7,G_ohe_8,I_ohe_0,I_ohe_1,J_ohe_0,J_ohe_1,L_ohe_0,L_ohe_1,M_ohe_0,M_ohe_1,M_ohe_2,A_label,D_label,E_label,F_label,G_label,I_label,J_label,L_label,M_label,P_mean_A_label,P_mean_D_label,P_mean_E_label,P_mean_F_label,P_mean_G_label,P_mean_I_label,P_mean_J_label,P_mean_L_label,P_mean_M_label
29.17,3.5,3.5,3,329.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.0036231884057971015,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,12,6,1,1,1,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.5,0.2062937062937063,0.27467811158798283,0.5433070866141733,0.5372233400402414
28.33,5.0,11.0,0,70.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.0036231884057971015,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,12,6,1,0,1,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.5,0.2062937062937063,0.7554858934169278,0.5433070866141733,0.5372233400402414
29.25,14.79,5.04,5,168.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.07608695652173914,0.0036231884057971015,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,6,1,1,1,0,0.5680628272251309,0.0,0.5106888361045131,0.6190476190476191,0.5,0.2062937062937063,0.27467811158798283,0.5433070866141733,0.5372233400402414
44.17,6.665,7.375,3,0.0,0,0.3079710144927536,0.0036231884057971015,0.7626811594202898,0.11956521739130435,0.0036231884057971015,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,10,6,1,1,1,0,0.5176470588235295,0.0,0.5106888361045131,0.3484848484848485,0.5,0.2062937062937063,0.27467811158798283,0.5433070866141733,0.5372233400402414
18.08,5.5,0.5,0,80.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.07246376811594203,0.0036231884057971015,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,8,6,1,0,0,0,0.5680628272251309,0.0,0.5106888361045131,0.725,0.5,0.2062937062937063,0.7554858934169278,0.5604026845637584,0.5372233400402414
45.0,4.585,1.0,0,240.0,0,0.3079710144927536,0.0036231884057971015,0.7626811594202898,0.07246376811594203,0.20471014492753623,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.08695652173913043,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,8,3,0,0,1,2,0.5176470588235295,0.0,0.5106888361045131,0.725,0.3805309734513274,0.924812030075188,0.7554858934169278,0.5433070866141733,0.7291666666666666
31.92,4.46,6.04,3,311.0,300,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.05253623188405797,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,2,3,1,1,0,0,0.5680628272251309,0.0,0.5106888361045131,0.2413793103448276,0.3805309734513274,0.2062937062937063,0.27467811158798283,0.5604026845637584,0.5372233400402414
29.67,1.415,0.75,1,240.0,100,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,12,3,1,1,0,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.3805309734513274,0.2062937062937063,0.27467811158798283,0.5604026845637584,0.5372233400402414
27.67,13.75,5.75,0,487.0,500,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.0036231884057971015,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,12,6,1,0,1,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.5,0.2062937062937063,0.7554858934169278,0.5433070866141733,0.5372233400402414
38.42,0.705,0.375,2,225.0,500,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.2210144927536232,0.0036231884057971015,0.48188405797101447,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,6,0,1,0,0,0.5680628272251309,0.0,0.5106888361045131,0.5655737704918032,0.5,0.924812030075188,0.27467811158798283,0.5604026845637584,0.5372233400402414
19.58,0.665,1.0,1,2000.0,2,0.3079710144927536,0.7626811594202898,0.0036231884057971015,0.2210144927536232,0.0036231884057971015,0.48188405797101447,0.4221014492753623,0.5398550724637681,0.9003623188405797,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,6,0,1,0,0,0.5176470588235295,0.5106888361045131,0.0,0.5655737704918032,0.5,0.924812030075188,0.27467811158798283,0.5604026845637584,0.5372233400402414
