B,C,H,K,N,O,A_labelfreq_enc,D_labelfreq_enc,E_labelfreq_enc,F_labelfreq_enc,G_labelfreq_enc,I_labelfreq_enc,J_labelfreq_enc,L_labelfreq_enc,M_labelfreq_enc,A_ohe_0,A_ohe_1,D_ohe_0,D_ohe_1,D_ohe_2,E_ohe_0,E_ohe_1,E_ohe_2,F_ohe_0,F_ohe_1,F_ohe_2,F_ohe_3,F_ohe_4,F_ohe_5,F_ohe_6,F_ohe_7,F_ohe_8,F_ohe_9,F_ohe_10,F_ohe_11,F_ohe_12,F_ohe_13,G_ohe_0,G_ohe_1,G_ohe_2,G_ohe_3,G_ohe_4,G_ohe_5,G_ohe_6,G_ohe_7,G_ohe_8,I_ohe_0,I_ohe_1,J_ohe_0,J_ohe_1,L_ohe_0,L_ohe_1,M_ohe_0,M_ohe_1,M_ohe_2,A_label,D_label,E_label,F_label,G_label,I_label,J_label,L_label,M_label,P_mean_A_label,P_mean_D_label,P_mean_E_label,P_mean_F_label,P_mean_G_label,P_mean_I_label,P_mean_J_label,P_mean_L_label,P_mean_M_label,B*B,B*C,B+C,B/C,B-C,B*H,B+H,B/H,B-H,B*K,B+K,B/K,B-K,B*N,B+N,B/N,B-N,C/B,C-B,C*C,C*H,C+H,C/H,C-H,C*K,C+K,C/K,C-K,C*N,C+N,C/N,C-N,H/B,H-B,H/C,H-C,H*H,H*K,H+K,H/K,H-K,H*N,H+N,H/N,H-N,K/B,K-B,K/C,K-C,K/H,K-H,K*K,K*N,K+N,K/N,K-N,N/B,N-B,N/C,N-C,N/H,N-H,N/K,N-K,N*N
29.17,3.5,3.5,3,329.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.0036231884057971015,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,12,6,1,1,1,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.5,0.2062937062937063,0.27467811158798283,0.5433070866141733,0.5372233400402414,910.2289000000001,135.76500000000001,34.67,6.704444444444444,25.67,135.76500000000001,34.67,6.704444444444444,25.67,120.68,34.17,7.5425,26.17,9956.1,360.17,0.09142424242424244,-299.83,0.1491547895260192,-25.67,20.25,20.25,9.0,1.0,0.0,18.0,8.5,1.125,0.5,1485.0,334.5,0.013636363636363636,-325.5,0.1491547895260192,-25.67,1.0,0.0,20.25,18.0,8.5,1.125,0.5,1485.0,334.5,0.013636363636363636,-325.5,0.1325820351342393,-26.17,0.8888888888888888,-0.5,0.8888888888888888,-0.5,16,1320.0,334.0,0.012121212121212121,-326.0,10.938017898574742,299.83,73.33333333333333,325.5,73.33333333333333,325.5,82.5,326.0,108900.0
28.33,5.0,11.0,0,70.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.0036231884057971015,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,12,6,1,0,1,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.5,0.2062937062937063,0.7554858934169278,0.5433070866141733,0.5372233400402414,860.2488999999999,175.98,35.33,4.888333333333333,23.33,351.96,41.33,2.4441666666666664,17.33,29.33,30.33,29.33,28.33,2082.43,100.33,0.41309859154929573,-41.67,0.20456870098874874,-23.33,36.0,72.0,18.0,0.5,-6.0,6.0,7.0,6.0,5.0,426.0,77.0,0.08450704225352113,-65.0,0.4091374019774975,-17.33,2.0,6.0,144.0,12.0,13.0,12.0,11.0,852.0,83.0,0.16901408450704225,-59.0,0.03409478349812479,-28.33,0.16666666666666666,-5.0,0.08333333333333333,-11.0,1,71.0,72.0,0.014084507042253521,-70.0,2.42072962836686,41.67,11.833333333333334,65.0,5.916666666666667,59.0,71.0,70.0,5041.0
29.25,14.79,5.04,5,168.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.07608695652173914,0.0036231884057971015,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,6,1,1,1,0,0.5680628272251309,0.0,0.5106888361045131,0.6190476190476191,0.5,0.2062937062937063,0.27467811158798283,0.5433070866141733,0.5372233400402414,915.0625,477.6475,46.04,1.915769474350855,14.46,182.71,36.29,5.008278145695364,24.21,181.5,36.25,5.041666666666667,24.25,5112.25,199.25,0.17899408284023668,-138.75,0.5219834710743801,-14.46,249.3241,95.3716,21.83,2.6142384105960264,9.75,94.74,21.79,2.6316666666666664,9.79,2668.5099999999998,184.79,0.09343195266272189,-153.21,0.1996694214876033,-24.21,0.3825205826472451,-9.75,36.4816,36.24,12.04,1.0066666666666666,0.040000000000000036,1020.76,175.04,0.0357396449704142,-162.96,0.19834710743801653,-24.25,0.3799873337555415,-9.79,0.9933774834437086,-0.040000000000000036,36,1014.0,175.0,0.03550295857988166,-163.0,5.586776859504132,138.75,10.702976567447752,153.21,27.980132450331126,162.96,28.166666666666668,163.0,28561.0
44.17,6.665,7.375,3,0.0,0,0.3079710144927536,0.0036231884057971015,0.7626811594202898,0.11956521739130435,0.0036231884057971015,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,10,6,1,1,1,0,0.5176470588235295,0.0,0.5106888361045131,0.3484848484848485,0.5,0.2062937062937063,0.27467811158798283,0.5433070866141733,0.5372233400402414,2040.3289000000002,346.22805,52.835,5.893020221787345,37.505,378.29875000000004,53.545,5.393432835820896,36.795,180.68,49.17,11.2925,41.17,45.17,46.17,45.17,44.17,0.1696922736329422,-37.505,58.752225,64.194375,16.04,0.915223880597015,-0.71,30.66,11.665,1.91625,3.665,7.665,8.665,7.665,6.665,0.185410670799203,-36.795,1.0926288323548599,0.71,70.140625,33.5,12.375,2.09375,4.375,8.375,9.375,8.375,7.375,0.08855435023245517,-41.17,0.5218525766470972,-3.665,0.47761194029850745,-4.375,16,4.0,5.0,4.0,3.0,0.022138587558113793,-44.17,0.1304631441617743,-6.665,0.11940298507462686,-7.375,0.25,-3.0,1.0
18.08,5.5,0.5,0,80.0,0,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.07246376811594203,0.0036231884057971015,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,8,6,1,0,0,0,0.5680628272251309,0.0,0.5106888361045131,0.725,0.5,0.2062937062937063,0.7554858934169278,0.5604026845637584,0.5372233400402414,364.04639999999995,124.01999999999998,25.58,2.9353846153846153,12.579999999999998,28.619999999999997,20.58,12.719999999999999,17.58,19.08,20.08,19.08,18.08,1545.4799999999998,100.08,0.23555555555555555,-61.92,0.3406708595387841,-12.579999999999998,42.25,9.75,8.0,4.333333333333333,5.0,6.5,7.5,6.5,5.5,526.5,87.5,0.08024691358024691,-74.5,0.07861635220125787,-17.58,0.23076923076923078,-5.0,2.25,1.5,2.5,1.5,0.5,121.5,82.5,0.018518518518518517,-79.5,0.052410901467505246,-18.08,0.15384615384615385,-5.5,0.6666666666666666,-0.5,1,81.0,82.0,0.012345679012345678,-80.0,4.245283018867925,61.92,12.461538461538462,74.5,54.0,79.5,81.0,80.0,6561.0
45.0,4.585,1.0,0,240.0,0,0.3079710144927536,0.0036231884057971015,0.7626811594202898,0.07246376811594203,0.20471014492753623,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.08695652173913043,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,8,3,0,0,1,2,0.5176470588235295,0.0,0.5106888361045131,0.725,0.3805309734513274,0.924812030075188,0.7554858934169278,0.5433070866141733,0.7291666666666666,2116.0,256.91,51.585,8.236347358997314,40.415,92.0,48.0,23.0,44.0,46.0,47.0,46.0,45.0,11086.0,287.0,0.1908713692946058,-195.0,0.12141304347826087,-40.415,31.192225,11.17,7.585,2.7925,3.585,5.585,6.585,5.585,4.585,1345.985,246.585,0.023174273858921162,-235.415,0.043478260869565216,-44.0,0.35810205908683973,-3.585,4.0,2.0,3.0,2.0,1.0,482.0,243.0,0.008298755186721992,-239.0,0.021739130434782608,-45.0,0.17905102954341987,-4.585,0.5,-1.0,1,241.0,242.0,0.004149377593360996,-240.0,5.239130434782608,195.0,43.15129811996419,235.415,120.5,239.0,241.0,240.0,58081.0
31.92,4.46,6.04,3,311.0,300,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.05253623188405797,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,2,3,1,1,0,0,0.5680628272251309,0.0,0.5106888361045131,0.2413793103448276,0.3805309734513274,0.2062937062937063,0.27467811158798283,0.5604026845637584,0.5372233400402414,1083.7264,179.7432,38.38,6.02930402930403,27.46,231.75680000000003,39.96,4.676136363636364,25.880000000000003,131.68,36.92,8.23,28.92,10271.04,344.92,0.10551282051282052,-279.08,0.16585662211421628,-27.46,29.8116,38.4384,12.5,0.7755681818181818,-1.58,21.84,9.46,1.365,1.46,1703.52,317.46,0.017499999999999998,-306.54,0.21385176184690158,-25.880000000000003,1.2893772893772895,1.58,49.5616,28.16,11.04,1.76,3.04,2196.48,319.04,0.022564102564102566,-304.96,0.12150668286755771,-28.92,0.7326007326007326,-1.46,0.5681818181818182,-3.04,16,1248.0,316.0,0.01282051282051282,-308.0,9.477521263669502,279.08,57.142857142857146,306.54,44.31818181818182,304.96,78.0,308.0,97344.0
29.67,1.415,0.75,1,240.0,100,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,12,3,1,1,0,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.3805309734513274,0.2062937062937063,0.27467811158798283,0.5604026845637584,0.5372233400402414,940.6489000000001,74.06805,33.085,12.699792960662526,28.255000000000003,53.6725,32.42,17.525714285714287,28.92,61.34,32.67,15.335,28.67,7391.47,271.67,0.12726141078838174,-210.32999999999998,0.07874144114770133,-28.255000000000003,5.832225,4.22625,4.165,1.3800000000000001,0.665,4.83,4.415,1.2075,0.41500000000000004,582.015,243.415,0.010020746887966805,-238.585,0.05705901532442126,-28.92,0.7246376811594203,-0.665,3.0625,3.5,3.75,0.875,-0.25,421.75,242.75,0.007261410788381743,-239.25,0.06521030322791001,-28.67,0.8281573498964803,-0.41500000000000004,1.1428571428571428,0.25,4,482.0,243.0,0.008298755186721992,-239.0,7.8578415389631555,210.32999999999998,99.79296066252587,238.585,137.71428571428572,239.25,120.5,239.0,58081.0
27.67,13.75,5.75,0,487.0,500,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.09057971014492754,0.0036231884057971015,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,12,6,1,0,1,0,0.5680628272251309,0.0,0.5106888361045131,0.52,0.5,0.2062937062937063,0.7554858934169278,0.5433070866141733,0.5372233400402414,821.9689000000001,422.88250000000005,43.42,1.9437288135593223,13.920000000000002,193.5225,35.42,4.247407407407407,21.92,28.67,29.67,28.67,27.67,13990.960000000001,516.67,0.058750000000000004,-459.33,0.514475061039414,-13.920000000000002,217.5625,99.5625,21.5,2.185185185185185,8.0,14.75,15.75,14.75,13.75,7198.0,502.75,0.030225409836065573,-473.25,0.23543773979769791,-21.92,0.4576271186440678,-8.0,45.5625,6.75,7.75,6.75,5.75,3294.0,494.75,0.013831967213114754,-481.25,0.034879665155214505,-27.67,0.06779661016949153,-13.75,0.14814814814814814,-5.75,1,488.0,489.0,0.0020491803278688526,-487.0,17.02127659574468,459.33,33.08474576271186,473.25,72.29629629629629,481.25,488.0,487.0,238144.0
38.42,0.705,0.375,2,225.0,500,0.6920289855072463,0.0036231884057971015,0.7626811594202898,0.2210144927536232,0.0036231884057971015,0.48188405797101447,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,6,0,1,0,0,0.5680628272251309,0.0,0.5106888361045131,0.5655737704918032,0.5,0.924812030075188,0.27467811158798283,0.5604026845637584,0.5372233400402414,1553.9364,67.2111,41.125,23.120234604105573,37.715,54.2025,40.795,28.66909090909091,38.045,118.26,42.42,13.14,36.42,8908.92,265.42,0.17442477876106197,-186.57999999999998,0.043252156265854894,-37.715,2.9070250000000004,2.3443750000000003,3.08,1.24,0.33000000000000007,5.115,4.705,0.5683333333333334,-1.295,385.33000000000004,227.705,0.0075442477876106195,-224.295,0.03488077118214104,-38.045,0.8064516129032258,-0.33000000000000007,1.890625,4.125,4.375,0.4583333333333333,-1.625,310.75,227.375,0.006084070796460177,-224.625,0.076103500761035,-36.42,1.7595307917888563,1.295,2.1818181818181817,1.625,9,678.0,229.0,0.01327433628318584,-223.0,5.733130390664637,186.57999999999998,132.55131964809382,224.295,164.36363636363637,224.625,75.33333333333333,223.0,51076.0
